date,symbol,action,quantity
2024-09-18,SI=F,Sell,8
2024-09-20,GC=F,Sell,43
2024-09-22,SI=F,Buy,24
2024-09-18,GC=F,Sell,44
2024-09-21,GC=F,Buy,22
2024-09-18,CL=F,Buy,44
2024-09-20,SI=F,Sell,26
2024-09-22,SI=F,Sell,29
2024-09-18,SI=F,Sell,5
2024-09-19,SI=F,Buy,15
2024-09-19,SI=F,Sell,35
2024-09-19,CL=F,Sell,7
2024-09-19,CL=F,Buy,22
2024-09-22,SI=F,Sell,32
2024-09-19,SI=F,Buy,21
2024-09-22,SI=F,Buy,35
2024-09-18,GC=F,Buy,24
2024-09-21,SI=F,Buy,42
2024-09-21,SI=F,Sell,34
2024-09-19,SI=F,Buy,38
2024-09-20,CL=F,Buy,27
2024-09-22,CL=F,Buy,7
2024-09-18,GC=F,Buy,39
2024-09-18,CL=F,Buy,17
2024-09-18,GC=F,Buy,40
2024-09-18,SI=F,Sell,18
2024-09-20,SI=F,Buy,33
2024-09-20,SI=F,Sell,27
2024-09-21,SI=F,Sell,33
2024-09-22,GC=F,Sell,18
2024-09-22,GC=F,Buy,43
2024-09-21,CL=F,Buy,41
2024-09-19,CL=F,Buy,20
2024-09-18,SI=F,Sell,25
2024-09-21,CL=F,Sell,38
2024-09-21,SI=F,Buy,27
2024-09-18,SI=F,Buy,13
2024-09-21,CL=F,Buy,11
2024-09-19,SI=F,Sell,26
2024-09-21,SI=F,Sell,45
2024-09-19,CL=F,Buy,43
2024-09-18,CL=F,Buy,41
2024-09-20,SI=F,Buy,17
2024-09-18,SI=F,Buy,20
2024-09-20,GC=F,Buy,25
2024-09-19,GC=F,Buy,30
2024-09-22,CL=F,Buy,13
2024-09-19,SI=F,Buy,23
2024-09-19,GC=F,Buy,41
2024-09-18,GC=F,Buy,14
